ID,Name_of_Covered_Entity,State,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,year,Breach_Month,Breach_Quarter,Name_of_Covered_Entity_Encoded,State_Encoded,Type_of_Breach_Encoded,Location_of_Breached_Information_Encoded
390,Florida Hospital,FL,12784,2011-08-10,Unauthorized Access/Disclosure,Electronic Medical Record,2014-02-19,2011-01-01,8,3,267,9,22,14
391,"Thomas Jefferson University Hospitals, Inc.",PA,3150,2011-09-06,Theft,Other,2014-01-23,2011-01-01,9,3,833,38,11,34
392,Lankenau Medical Center,PA,500,2011-09-06,Theft,Other,2014-01-23,2011-01-01,9,3,447,38,11,34
393,"Spectrum Health Ssytems, Inc.  ",MA,14750,2011-08-24,Theft,Desktop Computer,2014-03-13,2011-01-01,8,3,745,19,11,0
394,Conway Regional Medical Center,AR,1472,2011-08-24,Loss,Other,2014-01-23,2011-01-01,8,3,196,2,4,34
395,Concordia Plan Services,MO,7059,2011-05-10,Loss,Other,2014-01-23,2011-01-01,5,2,195,24,4,34
396,Stone Oak Urgent Care & Family Practice,TX,6672,2011-10-23,"Theft, Loss",Desktop Computer,2014-01-23,2011-01-01,10,4,780,44,14,0
397,Indiana University School of Optometry,IN,757,2011-08-12,Unauthorized Access/Disclosure,Network Server,2014-01-23,2011-01-01,8,3,380,15,22,30
398,"Brevard Emergency Services, P.A.",FL,2200,2011-08-26,Theft,Paper,2014-04-23,2011-01-01,8,3,100,9,11,40
399,Georgetown University Hospital,DC,1526,2011-09-09,Loss,"Other Portable Electronic Device, Other",2014-03-24,2011-01-01,9,3,287,7,4,36
400,Morris Heights Health Center,NY,927,2011-08-27,Theft,Laptop,2014-06-03,2011-01-01,8,3,540,34,11,16
401,network180,MI,1100,2011-09-16,Theft,Paper,2014-03-24,2011-01-01,9,3,965,22,11,40
402,Premier Imaging,NC,551,2011-09-14,Unknown,Paper,2014-01-23,2011-01-01,9,3,633,27,27,40
403,"The Good Samaritan Hospital of Cincinnati, Ohio",OH,1089,2011-09-03,Theft,Desktop Computer,2014-03-24,2011-01-01,9,3,820,35,11,0
404,"Bethesda Hospital, Inc.",OH,946,2011-09-03,Theft,Desktop Computer,2014-03-24,2011-01-01,9,3,85,35,11,0
405,"Julie A. Kennedy, D.M.D., P.A.",FL,2900,2011-09-30,Theft,Network Server,2014-01-23,2011-01-01,9,3,411,9,11,30
406,"KCI USA, Inc.",TX,567,2011-09-08,Theft,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,9,3,412,44,11,36
407,Lebanon Internal Medicine Associates,PA,55000,2011-09-10,Improper Disposal,Network Server,2014-01-23,2011-01-01,9,3,451,38,2,30
408,St. Joseph Medical Center,MD,5000,2011-09-11,Theft,"Other, Paper",2014-03-24,2011-01-01,9,3,756,20,11,39
409,TRICARE Management Activity (TMA),VA,4900000,2011-09-13,Loss,Other,2014-01-23,2011-01-01,9,3,796,46,4,34
410,UCLA Health System,CA,2761,2011-09-06,Theft,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,9,3,851,4,11,36
411,Logan County Emergeny Ambulance Service Authority,WV,12563,2011-10-01,"Theft, Loss",Laptop,2014-01-23,2011-01-01,10,4,462,50,14,16
412,Lawrence Memorial Hospital,KS,8275,2011-09-20,"Unauthorized Access/Disclosure, Other",Other,2014-04-23,2011-01-01,9,3,450,16,26,34
413,Sutter Medical Foundation,AL,943434,2011-10-15,Theft,Desktop Computer,2014-01-23,2011-01-01,10,4,791,1,11,0
414,Medcenter One,ND,650,2011-10-21,Theft,Laptop,2014-01-23,2011-01-01,10,4,497,28,11,16
415,Dallas County Hospital District dba Parkland Health & Hospital System,TX,2464,2011-09-05,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper",2014-01-23,2011-01-01,9,3,214,44,22,15
416,University of Kentucky UK HealthCare,KY,878,2011-09-25,Loss,Other Portable Electronic Device,2014-01-23,2011-01-01,9,3,886,17,4,35
417,State of Tennessee Sponsored Group Health Plan,TN,1770,2011-10-06,Unauthorized Access/Disclosure,Paper,2014-01-23,2011-01-01,10,4,778,43,22,40
418,Cleveland Clinic Florida,FL,772,2011-10-03,Loss,Other,2014-04-23,2011-01-01,10,4,175,9,4,34
419,"Jay C. Platt, DDS",IN,10705,2011-10-06,Theft,Other,2014-03-24,2011-01-01,10,4,396,15,11,34
420,Rite Aid Corporation ,PA,2900,2011-10-07,Other,Paper,2014-01-23,2011-01-01,10,4,666,38,10,40
421,Advanced Occupational Medicine Specialists,IL,7226,2011-10-12,Unauthorized Access/Disclosure,Network Server,2014-01-23,2011-01-01,10,4,18,14,22,30
422,Open MRI of Chicago,IL,2000,2011-09-06,Improper Disposal,Paper,2014-01-23,2011-01-01,9,3,597,14,2,40
423,University of Nebraska Medical Center,NE,611,2011-11-15,Theft,Paper,2014-04-23,2011-01-01,11,4,895,29,11,40
424,Roberts S. Smith M.D. Inc.,GA,17000,2011-10-17,Theft,Laptop,2014-01-23,2011-01-01,10,4,676,10,11,16
425,"Paul C. Brown, MD, PS",WA,4693,2011-10-14,Theft,Other,2014-02-14,2011-01-01,10,4,618,48,11,34
426,Molina Healthcare of California,CA,11081,2009-09-23,Other,Paper,2014-01-23,2009-01-01,9,3,533,4,10,40
427,Aegis Sciences Corporation,TN,2185,2011-11-22,Theft,"Laptop, Other Portable Electronic Device",2014-04-23,2011-01-01,11,4,22,43,11,27
428,"Soundpath Health, Inc",WA,7581,2011-11-22,Theft,Laptop,2014-02-14,2011-01-01,11,4,729,48,11,16
429,Concentra Health,TX,870,2011-11-30,Theft,Laptop,2014-01-23,2011-01-01,11,4,194,44,11,16
430,Sleep HealthCenters LLC,MA,2988,2011-11-23,Theft,Laptop,2014-03-13,2011-01-01,11,4,724,19,11,16
431,Smile Designs,FL,1670,2011-12-01,Theft,"Desktop Computer, Network Server",2014-01-23,2011-01-01,12,4,725,9,11,3
432,PBH,NC,50000,2011-11-15,"Unauthorized Access/Disclosure, Other","Network Server, E-mail",2014-01-23,2011-01-01,11,4,609,27,26,31
433,"CardioNet, Inc",PA,1300,2011-11-10,Theft,Laptop,2014-01-23,2011-01-01,11,4,129,38,11,16
434,"MDwise, Inc.",IN,2700,2011-02-10,Unauthorized Access/Disclosure,Other,2014-03-24,2011-01-01,2,1,478,15,22,34
435,Ford Motor Company,MI,1700,2012-01-03,Other,Paper,2014-03-24,2012-01-01,1,1,269,22,10,40
436,Foundation Medical Partners,NH,771,2011-11-19,Theft,Paper,2014-06-02,2011-01-01,11,4,272,30,11,40
437,Kansas Department on Aging,KS,7757,2012-01-11,Theft,Laptop,2014-01-23,2012-01-01,1,1,417,16,11,16
438,Delta Dental of California,CA,11646,2011-12-22,Other,Paper,2014-01-23,2011-01-01,12,4,221,4,10,40
439,Muskogee Regional Medical Center,OK,844,2011-12-05,Loss,Other,2014-01-23,2011-01-01,12,4,548,36,4,34
440,Department of Medical Assistance Services,VA,1444,2011-11-02,"Unauthorized Access/Disclosure, Other",Paper,2014-01-23,2011-01-01,11,4,227,46,26,40
441,"Oldendorf Medical Services, PLLC",NY,549,2012-01-17,Theft,Laptop,2014-06-02,2012-01-01,1,1,593,34,11,16
442,St.Vincent Physician Network,IN,1423,2010-12-01,"Theft, Unauthorized Access/Disclosure",Paper,2014-03-24,2010-01-01,12,4,766,15,19,40
443,Flex Physical Therapy,WA,3100,2011-12-30,Theft,Desktop Computer,2014-01-23,2011-01-01,12,4,263,48,11,0
444,Metro Community Provider Network,CO,3200,2011-12-05,"Hacking/IT Incident, Other",E-mail,2014-01-23,2011-01-01,12,4,514,5,1,11
445,University of Miami ,FL,1219,2011-11-24,Theft,Other Portable Electronic Device,2014-01-23,2011-01-01,11,4,889,9,11,35
446,UnitedHealth Group health plan single affiliated covered entity,MN,6678,2011-12-15,Other,Paper,2014-03-24,2011-01-01,12,4,868,23,10,40
447,"Triumph, LLC",NC,2000,2011-12-13,Theft,Laptop,2014-01-23,2011-01-01,12,4,847,27,11,16
448,Fairview Health Services,MN,14000,2011-07-25,Theft,Laptop,2014-01-23,2011-01-01,7,3,258,23,11,16
449,Loma Linda University Medical Center (LLUMC),CA,1366,2011-12-19,Other,Paper,2014-01-23,2011-01-01,12,4,464,4,10,40
450,Ford Motor Company Salaried Health Reimbursement Arrangement (HRA) Plan,MI,1700,2011-12-29,Other,Other,2014-03-24,2011-01-01,12,4,270,22,10,34
451,"Medco Health Solutions, Inc.",NJ,1287,2011-11-30,Theft,Paper,2014-06-20,2011-01-01,11,4,498,31,11,40
452,Lakeview Medical Center,WI,698,2012-01-04,Theft,Laptop,2014-01-23,2012-01-01,1,1,444,49,11,16
453,"Goshen Health System, Inc.",IN,660,2011-12-22,Hacking/IT Incident,Other,2014-01-23,2011-01-01,12,4,295,15,0,34
454,Georgetown University Hospital,DC,1549,2011-11-01,Unauthorized Access/Disclosure,Paper,2014-01-23,2011-01-01,11,4,287,7,22,40
455,Motion Picture Industry Health Plans (MPI),CA,703,2009-09-23,Other,Other,2014-02-14,2009-01-01,9,3,542,4,10,34
456,Ochsner Health System,LA,2088,2012-01-19,Loss,Other Portable Electronic Device,2014-01-23,2012-01-01,1,1,586,18,4,35
457,Applegate Valley Family Medicine,OR,2300,2011-12-01,"Theft, Unauthorized Access/Disclosure",Laptop,2014-01-23,2011-01-01,12,4,49,37,19,16
458,"CardioNet, Inc.",PA,728,2011-12-29,Theft,Laptop,2014-01-23,2011-01-01,12,4,130,38,11,16
459,Presbyterian Healthcare Services,NM,7000,2011-12-29,Theft,Laptop,2014-03-13,2011-01-01,12,4,635,32,11,16
460,"Alliant Health Plans, Inc.",GA,632,2012-01-01,Unauthorized Access/Disclosure,Other,2014-01-23,2012-01-01,1,1,36,10,22,34
461,"FIRST MEDICAL CENTER, INC.",PR,7706,2012-01-11,Theft,Laptop,2014-06-13,2012-01-01,1,1,255,39,11,16
462,Lee Miller Rehabilitation Associates,MD,10480,2012-01-15,Theft,Network Server,2014-01-23,2012-01-01,1,1,454,20,11,30
463,"Jeremaih J. Twomey, F.A.C.P., P.A.",TX,2559,2011-12-31,Theft,Other,2014-01-23,2011-01-01,12,4,400,44,11,34
464,Anchorage Community Mental Health Services Inc.,AK,2743,2011-12-20,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,2011-01-01,12,4,44,0,22,0
465,Robley Rex VA Medical Center ,KY,1182,2012-01-09,Other,Paper,2014-01-23,2012-01-01,1,1,677,17,10,40
466,Indiana Internal Medicine Consultants,IN,20000,2012-02-11,Theft,Laptop,2014-06-24,2012-01-01,2,1,376,15,11,16
467,Policlinica La Familia IPA 343,PR,5994,2012-01-11,Theft,Laptop,2014-06-03,2012-01-01,1,1,630,39,11,16
468,Servicios Medicos Integrados de Fajardo,PR,10000,2012-01-11,Theft,"Laptop, Other Portable Electronic Device",2014-04-23,2012-01-01,1,1,709,39,11,27
469,Proveedores Aliados por tu SAlud,PR,4645,2012-01-12,Theft,Laptop,2014-06-20,2012-01-01,1,1,639,39,11,16
470,"Centro de Servicios de Cuidados Dirigidos, Inc. d/b/a Metro Salud grupo Profesional",PR,27098,2012-01-11,Theft,Laptop,2014-06-20,2012-01-01,1,1,150,39,11,16
471,Kern Medical Center ,CA,1431,2012-02-25,Theft,Paper,2014-01-23,2012-01-01,2,1,423,4,11,40
472,"William F. DeLuca Jr., M.D.",NY,577,2012-01-16,Theft,Laptop,2014-06-02,2012-01-01,1,1,948,34,11,16
473,Grupo Medico IPA -341,PR,7923,2012-01-11,Theft,Laptop,2014-06-20,2012-01-01,1,1,307,39,11,16
474,Advanced Clinical Research Institute,CA,875,2012-01-26,Theft,Paper,2014-01-23,2012-01-01,1,1,14,4,11,40
475,Access Medical Group -IPA 344,PR,7606,2012-01-11,Theft,"Laptop, Other Portable Electronic Device",2014-06-13,2012-01-01,1,1,10,39,11,27
476,Georgia Health Sciences University,GA,513,2012-01-18,Theft,Laptop,2014-01-23,2012-01-01,1,1,288,10,11,16
477,"Baylor Heart and Vascular Center, LLP",TX,1972,2012-01-26,Theft,Other Portable Electronic Device,2014-01-23,2012-01-01,1,1,75,44,11,35
478,Chicago Musculoskeletal Institute/Metro Orthopedics,IL,750,2011-12-31,Other,Network Server,2014-03-24,2011-01-01,12,4,156,14,10,30
479,"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company",MA,3482,2012-01-17,Other,Paper,2014-01-23,2012-01-01,1,1,849,19,10,40
480,Duke University Health System,NC,1370,2008-07-01,Unauthorized Access/Disclosure,Other,2014-04-23,2008-01-01,7,3,240,27,22,34
481,St. Joseph's Medical Center,CA,712,2012-02-02,Theft,Paper,2014-01-23,2012-01-01,2,1,757,4,11,40
482,UnitedHealth Group health plan single affiliated covered entity,MN,3537,2011-06-28,Unauthorized Access/Disclosure,Other,2014-03-24,2011-01-01,6,2,868,23,22,34
483,CenterLight Healthcare,NY,642,2012-01-27,Unauthorized Access/Disclosure,E-mail,2014-01-23,2012-01-01,1,1,143,34,22,11
484,Lake Granbury Medical Center,TX,502,2012-02-13,Theft,Paper,2014-01-23,2012-01-01,2,1,442,44,11,40
485,County of Wayne Department of Personnel/Human Resources Benefits Administration Division,MI,1229,2012-03-16,Unauthorized Access/Disclosure,E-mail,2014-06-10,2012-01-01,3,1,205,22,22,11
486,St. Elizabeth's Medical Center,MA,6831,2012-02-01,Loss,Paper,2014-01-23,2012-01-01,2,1,749,19,4,40
487,The Neighborhood Christian Clinic,AZ,9565,2012-02-07,Loss,Other Portable Electronic Device,2014-01-23,2012-01-01,2,1,826,3,4,35
488,"AccentCare Home Health of California, Inc. Medicare # 057564    CA state License # 080000226",CA,1000,2012-04-20,Unauthorized Access/Disclosure,E-mail,2014-01-23,2012-01-01,4,2,8,4,22,11
489,Seton Health Plan,TX,555,2012-03-09,Unauthorized Access/Disclosure,Paper,2014-01-23,2012-01-01,3,1,710,44,22,40
490,awklein a med corp,CA,2000,2011-02-01,Theft,Other,2014-01-23,2011-01-01,2,1,963,4,11,34
491,Utah Department of Health,UT,780000,2012-03-10,Hacking/IT Incident,Network Server,2014-01-23,2012-01-01,3,1,908,45,0,30
492,IU Medical Group,IN,1000,2012-04-11,Improper Disposal,Paper,2014-01-23,2012-01-01,4,2,366,15,2,40
493,Rhinebeck Health Center/Center for Progressive Medicine,NY,6745,2011-11-15,Theft,"Desktop Computer, Network Server",2014-06-03,2011-01-01,11,4,662,34,11,3
494,Memorial Healthcare System,FL,9497,2011-08-01,Other,Other,2014-01-23,2011-01-01,8,3,506,9,10,34
495,"Roy E. Gondo, M.D.",WA,2100,2012-02-21,Theft,"Desktop Computer, Electronic Medical Record",2014-01-23,2012-01-01,2,1,683,48,11,2
496,"DRD Management, Inc. D/B/A DRD Knoxville Medical Clinic - Central",TX,1000,2012-02-16,Improper Disposal,Paper,2014-01-23,2012-01-01,2,1,212,44,2,40
497,Emory Healthcare,GA,315000,2012-02-07,"Unknown, Other",Other,2014-01-23,2012-01-01,2,1,250,10,28,34
498,"Rex Smith, DPM -Rex Smith Podiatry ",OR,20915,2012-02-19,Theft,Desktop Computer,2014-01-23,2012-01-01,2,1,660,37,11,0
499,Desert AIDS Project,CA,4400,2012-04-12,Theft,Desktop Computer,2014-01-23,2012-01-01,4,2,229,4,11,0
500,University of Arkansas for Medical Sciences,AR,7121,2012-02-15,Unauthorized Access/Disclosure,Other,2014-01-23,2012-01-01,2,1,877,2,22,34
501,"TLC DENTAL DANIA, LLC",FL,750,2012-04-23,Theft,Paper,2014-02-20,2012-01-01,4,2,794,9,11,40
502,South Carolina Department of Health and Human Services,SC,228435,2012-01-31,Unauthorized Access/Disclosure,E-mail,2014-01-23,2012-01-01,1,1,731,41,22,11
503,Oregon Health Authority,OR,550,2012-04-13,Theft,Paper,2014-04-23,2012-01-01,4,2,600,37,11,40
504,SHIELDS For Families ,CA,961,2012-02-27,Theft,Network Server,2014-01-23,2012-01-01,2,1,684,4,11,30
505,"Safe Ride Services, Inc",AZ,42000,2011-08-31,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,2011-01-01,8,3,691,3,24,30
506,IntraCare North Hospital,TX,750,2011-03-15,Theft,Paper,2014-01-23,2011-01-01,3,1,385,44,11,40
507,"Oakland Vision Services, PC",MI,3000,2012-04-09,Hacking/IT Incident,Network Server,2014-03-24,2012-01-01,4,2,584,22,0,30
508,"Stephen Haggard, DPM Podiatry ",WA,1597,2012-03-04,Theft,Network Server,2014-01-23,2012-01-01,3,1,779,48,11,30
509,Baptist Health System,AL,1655,2012-03-08,Improper Disposal,Paper,2014-01-23,2012-01-01,3,1,68,1,2,40
510,University of Houston for UH College of Optometry,TX,7000,2012-02-22,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,2012-01-01,2,1,882,44,24,30
511,Rite Aid Store 1343,WV,2905,2012-03-26,Theft,Paper,2014-03-24,2012-01-01,3,1,667,50,11,40
512,Iowa Department of Human Services,IA,3000,2012-02-06,Improper Disposal,Paper,2014-01-23,2012-01-01,2,1,386,12,2,40
513,Hogan Services Inc. Health Care Premium Plan,MO,1134,2012-03-30,Unauthorized Access/Disclosure,E-mail,2014-01-23,2012-01-01,3,1,345,24,22,11
514,"Family HealthServices Minnesota, P.A.",MN,4000,2012-03-30,Theft,Laptop,2014-06-10,2012-01-01,3,1,259,23,11,16
515,St. Mary Medical Center,CA,3900,2012-05-07,Loss,Other Portable Electronic Device,2014-01-23,2012-01-01,5,2,760,4,4,35
516,Fairview Health Services,MN,623,2011-07-25,Theft,Laptop,2014-03-24,2011-01-01,7,3,258,23,11,16
517,Our Lady of the Lake Regional Medical Center,LA,17000,2012-03-16,"Theft, Loss",Laptop,2014-01-23,2012-01-01,3,1,608,18,14,16
518,UnitedHealth Group health plan single affiliated covered entity,MN,19100,2011-06-28,Unauthorized Access/Disclosure,Other,2014-01-23,2011-01-01,6,2,868,23,22,34
519,West Dermatology,CA,1900,2012-04-21,Theft,Other,2014-01-23,2012-01-01,4,2,943,4,11,34
520,Duke University Health System,NC,591,2004-04-21,Unauthorized Access/Disclosure,Other,2014-01-23,2004-01-01,4,2,240,27,22,34
521,"Luz Colon, DPM  Podiatry ",FL,1137,2012-03-20,"Theft, Loss",Laptop,2014-01-23,2012-01-01,3,1,476,9,14,16
522,Ameritas Life Insurance Corp. ,NE,3000,2012-03-21,Theft,Laptop,2014-01-23,2012-01-01,3,1,43,29,11,16
523,Children's Hospital Boston,MA,2159,2012-03-25,Theft,Laptop,2014-01-23,2012-01-01,3,1,159,19,11,16
524,Upper Valley Medical Center,OH,15000,2010-10-01,Unauthorized Access/Disclosure,Other,2014-01-23,2010-01-01,10,4,906,35,22,34
525,Physician's Automated Laboratory,CA,745,2012-03-23,Theft,Paper,2014-01-23,2012-01-01,3,1,627,4,11,40
526,"Phoebe Putney Memorial Hospital, Inc. ",GA,12937,2010-07-26,Theft,"Electronic Medical Record, Paper",2014-02-20,2010-01-01,7,3,625,10,11,15
527,Independence Physical Therapy,CT,925,2011-08-01,Theft,Desktop Computer,2014-01-23,2011-01-01,8,3,373,6,11,0
528,Titus Regional Medical Center,TX,5700,2012-03-27,"Loss, Unknown",Laptop,2014-01-23,2012-01-01,3,1,837,44,9,16
529,Titus Regional Medical Center,TX,500,2012-03-29,Theft,Other,2014-01-23,2012-01-01,3,1,837,44,11,34
530,Lutheran Community Services Northwest,WA,756,2012-03-29,Theft,"Desktop Computer, Other Portable Electronic Device",2014-01-23,2012-01-01,3,1,474,48,11,8
531,"Volunteer State Health Plan, Inc. ",TN,1102,2012-03-16,Loss,Paper,2014-01-23,2012-01-01,3,1,929,43,4,40
532,Charlie Norwood VA Medical Center,GA,824,2012-03-30,Loss,Other Portable Electronic Device,2014-01-23,2012-01-01,3,1,153,10,4,35
533,"Mid America Health, Inc.",IN,1444,2012-04-06,Theft,Laptop,2014-01-23,2012-01-01,4,2,519,15,11,16
534,"Metcare of Florida, Inc.",FL,2557,2012-05-01,Theft,Other Portable Electronic Device,2014-01-23,2012-01-01,5,2,511,9,11,35
535,"Robert Witham, MD, FACP",OR,11136,2012-04-16,Theft,Desktop Computer,2014-01-23,2012-01-01,4,2,675,37,11,0
536,Memorial Sloan-Kettering Cancer Center,NY,568,2009-08-13,Theft,"E-mail, Other",2014-06-03,2009-01-01,8,3,510,34,11,12
537,"Gessler Clinic, P.A.",FL,1409,2012-05-03,Theft,Paper,2014-01-23,2012-01-01,5,2,291,9,11,40
538,University of Kentucky HealthCare,KY,4490,2012-05-01,Theft,Laptop,2014-01-23,2012-01-01,5,2,885,17,11,16
539,Wolf & Yun,KY,824,2012-04-24,Theft,Laptop,2014-01-23,2012-01-01,4,2,952,17,11,16
540,Karen Kietzman,MT,708,2012-04-22,Theft,"Laptop, Other Portable Electronic Device",2014-03-21,2012-01-01,4,2,418,26,11,27
541,"Bruce G. Peller, DMD, PA",NC,9953,2012-04-22,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,2012-01-01,4,2,108,27,22,0
542,"Sharon L. Rogers, Ph.D., ABPP",TX,585,2012-06-16,Theft,Laptop,2014-01-23,2012-01-01,6,2,715,44,11,16
543,Health Texas Provider Network - Cardiovascular Consultants of North Texas,TX,2462,2012-03-16,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,2012-01-01,3,1,333,44,22,14
544,SwedishAmerican Health System,IL,1500,2012-05-31,Theft,Paper,2014-03-24,2012-01-01,5,2,792,14,11,40
545,River Arch Dental,CA,2533,2012-05-12,"Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,2014-01-23,2012-01-01,5,2,668,4,8,35
546,Hamner Square Dental ,CA,1112,2012-05-12,"Theft, Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,2014-01-23,2012-01-01,5,2,313,4,17,35
547,Visiting Nurse Services of Iowa,IA,1298,2012-05-27,Theft,Paper,2014-01-23,2012-01-01,5,2,927,12,11,40
548,Molalla Family Dental,OR,4354,2012-05-17,"Unauthorized Access/Disclosure, Hacking/IT Incident, Other",Network Server,2014-01-23,2012-01-01,5,2,532,37,25,30
549,Pamlico Medical Equipment LLC,NC,2917,2012-05-16,Loss,Other Portable Electronic Device,2014-01-23,2012-01-01,5,2,613,27,4,35
550,Beth Israel Deaconess Medical Center,MA,3900,2012-05-22,Theft,Laptop,2014-01-23,2012-01-01,5,2,84,19,11,16
551,NYU School of Medicine Faculty Group Practice,NY,8488,2012-05-22,Theft,Desktop Computer,2014-01-23,2012-01-01,5,2,558,34,11,0
552,"Adult & Child Center, Inc.",IN,550,2012-05-10,Hacking/IT Incident,Other,2014-01-23,2012-01-01,5,2,12,15,0,34
553,"The Surgeons of Lake County, LLC",IL,7067,2012-06-22,Other,Network Server,2014-01-23,2012-01-01,6,2,829,14,10,30
554,Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg,IN,1504,2012-06-01,Theft,Other,2014-01-23,2012-01-01,6,2,426,15,11,34
555,Jeffrey Paul Edelstein M.D.,AZ,4800,2012-05-28,Theft,Network Server,2014-01-23,2012-01-01,5,2,399,3,11,30
556,Northwestern Memorial Hospital,IL,4211,2012-06-11,Theft,"Laptop, Other Portable Electronic Device",2014-01-23,2012-01-01,6,2,582,14,11,27
557,Walgreen Co.,IL,1240,2012-07-05,Theft,Paper,2014-01-23,2012-01-01,7,3,937,14,11,40
558,VNA HealthCare,CT,7461,2012-06-25,Theft,Laptop,2014-02-19,2012-01-01,6,2,918,6,11,16
559,Hartford Hospital,CT,2097,2012-06-25,Theft,Laptop,2014-04-23,2012-01-01,6,2,321,6,11,16
560,Diversified Support Services,IN,505,2012-05-10,Hacking/IT Incident,Other,2014-01-23,2012-01-01,5,2,235,15,0,34
561,Oregon Health & Science University,OR,702,2012-07-04,Theft,Other,2014-01-23,2012-01-01,7,3,599,37,11,34
562,Stanford Hospital & Clinics and School of Medicine,CA,2300,2012-07-15,Theft,Desktop Computer,2014-01-23,2012-01-01,7,3,769,4,11,0
563,Midtown Mental Health Center,IN,890,2012-05-10,Hacking/IT Incident,Other,2014-01-23,2012-01-01,5,2,522,15,0,34
564,Harris County Hospital District,TX,2875,2008-04-14,Theft,"Electronic Medical Record, Paper",2014-04-23,2008-01-01,4,2,320,44,11,15
565,Howard University Hospital,DC,66601,2012-01-25,Theft,Laptop,2014-01-23,2012-01-01,1,1,360,7,11,16
566,TEMPLE COMMUNITY HOSPITAL,CA,603,2012-07-03,Theft,Desktop Computer,2014-01-23,2012-01-01,7,3,793,4,11,0
567,Memorial Healthcare System,FL,105646,2011-01-01,Theft,Electronic Medical Record,2014-01-23,2011-01-01,1,1,506,9,11,14
568,"Liberty Resources, Inc.",PA,3183,2012-08-04,Theft,Laptop,2014-06-24,2012-01-01,8,3,457,38,11,16
569,The University of Texas MD Anderson Cancer Center,TX,2264,2012-07-13,Loss,Other Portable Electronic Device,2014-01-23,2012-01-01,7,3,831,44,4,35
570,Central States Southeast and Siouthwest Areas Health & Welfare Fund,IL,754,2012-07-31,"Unauthorized Access/Disclosure, Other",Paper,2014-01-23,2012-01-01,7,3,148,14,26,40
571,LANA MEDICAL CARE,FL,500,2012-08-18,Theft,Laptop,2014-01-23,2012-01-01,8,3,434,9,11,16
572,"Cancer Care Group, P.C.",IN,55000,2012-07-19,Theft,Other Portable Electronic Device,2014-03-24,2012-01-01,7,3,126,15,11,35
573,Tricounty Behavioral Health Clinic,GA,4000,2012-08-26,Theft,Laptop,2014-01-23,2012-01-01,8,3,843,10,11,16
574,Sierra Plastic Surgery,NV,800,2011-08-19,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,2011-01-01,8,3,718,33,24,30
575,"Charlotte Clark-Neitzel, MD",WA,942,2012-07-24,Theft,Laptop,2014-01-23,2012-01-01,7,3,154,48,11,16
576,University of Miami,FL,64846,2012-07-18,"Unauthorized Access/Disclosure, Other",Paper,2014-01-23,2012-01-01,7,3,888,9,26,40
577,University of New Mexico Health Sciences Center,NM,2365,2012-05-21,Hacking/IT Incident,Network Server,2014-01-23,2012-01-01,5,2,897,32,0,30
578,"Valley Plastic Surgery, P.C.",VA,4873,2012-07-15,Theft,Other Portable Electronic Device,2014-03-24,2012-01-01,7,3,921,46,11,35
579,Colon & Digestive Health Specialists,AR,5713,2012-07-16,Loss,Other Portable Electronic Device,2014-01-23,2012-01-01,7,3,182,2,4,35
580,"BHcare, Inc",CT,5827,2012-07-19,Theft,"Laptop, Other Portable Electronic Device",2014-02-19,2012-01-01,7,3,63,6,11,27
581,The Feinstein Institute for Medical Research,NY,13000,2012-09-02,Theft,Laptop,2014-01-23,2012-01-01,9,3,818,34,11,16
582,"St. Therese Medical Group, Inc",CA,3031,2012-07-22,Theft,Desktop Computer,2014-01-23,2012-01-01,7,3,762,4,11,0
583,"Cabinet for Health and Family Services, Department for Community Based Services (Protection and Permanency)",KY,2500,2012-07-20,Unauthorized Access/Disclosure,E-mail,2014-01-23,2012-01-01,7,3,119,17,22,11
584,"Litton & Giddings Radiological Associates, P.C.",MO,13074,2012-07-31,Improper Disposal,Paper,2014-01-23,2012-01-01,7,3,460,24,2,40
585,"Apria Healthcare, Inc.",CA,65700,2012-06-14,Theft,Laptop,2014-01-23,2012-01-01,6,2,50,4,11,16
586,"Alexander J. Tikhtman, M.D.",KY,2376,2012-08-15,Loss,Other Portable Electronic Device,2014-01-23,2012-01-01,8,3,33,17,4,35
587,Gulf Coast Health Care Services Inc,FL,13000,2012-08-17,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,2012-01-01,8,3,309,9,20,30
588,"Blount Memorial Hospital, Inc",TN,27799,2012-08-25,Theft,Laptop,2014-01-23,2012-01-01,8,3,87,43,11,16
